DATE,ACTUAL,DEV,CONS
03/16/2023,3.5,0,3.5
02/02/2023,3,0,3
12/15/2022,2.5,0,2.5
10/27/2022,2,0,2
09/08/2022,1.25,0,1.25
07/21/2022,0.5,0,0.25
06/09/2022,0,0,0
04/14/2022,0,0,0
03/10/2022,0,0,0
02/03/2022,0,0,0
12/16/2021,0,,
10/28/2021,0,0,0
09/09/2021,0,0,0
07/22/2021,0,0,0
06/10/2021,0,0,0
04/22/2021,0,0,0
03/11/2021,0,0,0
01/21/2021,0,0,0
12/10/2020,0,0,0
10/29/2020,0,0,0
09/10/2020,0,0,0
07/16/2020,0,0,0
06/04/2020,0,0,0
04/30/2020,0,0,0
03/12/2020,0,0,0
01/23/2020,0,0,0
12/12/2019,0,0,0
10/24/2019,0,0,0
09/12/2019,0,0,0
07/25/2019,0,0,0
06/06/2019,0,,0
04/10/2019,0,,0
03/07/2019,0,,0
01/24/2019,0,,0
12/13/2018,0,0,0
10/25/2018,0,0,0
09/13/2018,0,0,0
07/26/2018,0,0,0
06/14/2018,0,0,0
04/26/2018,0,0,0
03/08/2018,0,0,0
01/25/2018,0,0,0
12/14/2017,0,0,0
10/26/2017,0,0,0
09/07/2017,0,0,0
07/20/2017,0,0,0
06/08/2017,0,0,0
04/27/2017,0,0,0
03/09/2017,0,0,0
01/19/2017,0,0,0
12/08/2016,0,0,0
10/20/2016,0,0,0
09/08/2016,0,0,0
07/21/2016,0,0,0
06/02/2016,0,0,0
04/21/2016,0,0,0
03/10/2016,0,0,0.05
01/21/2016,0.05,0,0.05
12/03/2015,0.05,0,0.05
10/22/2015,0.05,0,0.05
09/03/2015,0.05,0,0.05
07/16/2015,0.05,0,0.05
06/03/2015,0.05,,
04/15/2015,0.05,0,0.05
03/05/2015,0.05,0,0.05
01/22/2015,0.05,,
12/04/2014,0.05,0,0.05
11/06/2014,0.05,0,0.05
10/02/2014,0.05,0,0.05
09/04/2014,0.05,-4.62,0.15
08/07/2014,0.15,0,0.15
07/03/2014,0.15,,
06/05/2014,0.15,0,0.1
05/08/2014,0.25,0,0.25
04/03/2014,0.25,0,0.25
03/06/2014,0.25,0,0.25
02/06/2014,0.25,0,0.25
01/09/2014,0.25,0,0.25
12/05/2013,0.25,0,0.25
11/07/2013,0.25,0,0.5
10/02/2013,0.5,0,0.5
09/05/2013,0.5,0,0.5
08/01/2013,0.5,0,0.5
07/04/2013,0.5,0,0.5
06/06/2013,0.5,0,0.5
05/02/2013,0.5,0,0.5
04/04/2013,0.75,0,0.75
03/07/2013,0.75,0,0.75
02/07/2013,0.75,0,0.75
01/10/2013,0.75,0,0.75
12/06/2012,0.75,0,0.75
11/08/2012,0.75,0,0.75
10/04/2012,0.75,0,0.75
09/06/2012,0.75,0,0.75
08/02/2012,0.75,0,0.75
07/05/2012,0.75,0,0.75
06/06/2012,1,0,1
05/03/2012,1,0,1
04/04/2012,1,0,1
03/08/2012,1,0,1
02/09/2012,1,0,1
01/12/2012,1,0,1
12/08/2011,1,-2.5,1.25
11/03/2011,1.25,0,1.5
10/06/2011,1.5,0,1.5
09/08/2011,1.5,0,1.5
08/04/2011,1.5,,1.5
07/07/2011,1.5,,1.5
06/09/2011,1.25,,1.25
05/05/2011,1.25,,1.25
04/07/2011,1.25,,1.25
03/03/2011,1,,1
02/03/2011,1,,1
01/13/2011,1,,1
12/02/2010,1,,1
11/04/2010,1,,1
10/07/2010,1,,1
09/02/2010,1,,1
08/05/2010,1,,1
07/08/2010,1,,1
06/10/2010,1,,1
05/06/2010,1,,1
04/08/2010,1,,1
03/04/2010,1,,1
02/04/2010,1,,1
01/14/2010,1,,1
12/03/2009,1,,1
11/05/2009,1,,1
10/08/2009,1,,1
09/03/2009,1,,1
08/06/2009,1,,
07/02/2009,1,,1
06/04/2009,1,,1
05/07/2009,1,,1
04/02/2009,1.25,,1
03/05/2009,1.5,,1.5
02/05/2009,2,,2
01/15/2009,2,,2
12/04/2008,2.5,,2.75
11/06/2008,3.25,,3.25
10/08/2008,3.75,,
10/02/2008,4.25,,4.25
09/04/2008,4.25,,4.25
08/07/2008,4.25,,4.25
07/03/2008,4.25,,4.25
06/05/2008,4,,4
05/08/2008,4,,4
04/10/2008,4,,4
03/06/2008,4,,4
02/07/2008,4,,4
01/10/2008,4,,4
12/06/2007,4,,4
11/08/2007,4,,4
10/04/2007,4,,4
09/06/2007,4,,4
08/02/2007,4,,4
07/05/2007,4,,4
06/06/2007,4,,4
05/10/2007,3.75,,3.75
03/08/2007,3.75,,3.75